Step Name,Display Name,Parent Block,Step Order,Duration,Purpose,Technique Used,Step Type,Instructions,Facilitator Notes
Introduction,,Objectives and Key Results (OKRs),1,5,Create a shared understanding of the workshop objective and explain how OKRs will be used during the session.,,introduction,"Introduce the purpose of the workshop.

Explain the difference between Objectives and Key Results.

Set expectations for the session and explain that the goal is to align around a single objective and measurable indicators of success.

Review the agenda and answer any questions before beginning.","Keep the introduction short and focused.

Avoid teaching OKRs in depth.

The goal is to create enough understanding for participants to confidently take part in the activity."
Review Objectives,,Objectives and Key Results (OKRs),2,5,Review proposed objectives and ensure everyone understands the options being considered.,,review,"Review each submitted objective one at a time.

Clarify wording where needed.

Ensure participants understand what each objective is trying to achieve before moving on.","Do not debate which objective is best at this stage.

Focus only on understanding and clarification."
Theme Sort Objectives,Cluster Objectives,Objectives and Key Results (OKRs),3,10,Group similar objectives together and identify common themes.,Theme Sort (https://app.notion.com/p/Theme-Sort-373eb253b7f680a79694c82252566fab?pvs=21),cluster,"Ask participants to group similar objectives together.

Discuss emerging themes and identify overlaps.

Create labels for each cluster once patterns begin to emerge.","Avoid naming themes too early.

Focus on patterns and relationships rather than perfect categorisation."
Select Objective,,Objectives and Key Results (OKRs),4,10,Select a single objective that the group believes should be the primary focus.,Blind Vote (https://app.notion.com/p/Blind-Vote-373eb253b7f680fdb80effd9c0fd2384?pvs=21),vote,"Review the objective themes.

Allow participants a short period to reflect independently.

Run a blind vote.

Reveal results simultaneously.

If there is no clear outcome, facilitate a short discussion and conduct a second round of voting.","Avoid debate before voting.

Blind voting helps reduce hierarchy and groupthink.

The objective is alignment, not unanimity."
Generate Success Metrics,Generate Metrics,Objectives and Key Results (OKRs),5,10,Generate possible measures that indicate progress towards the selected objective.,,generate,"Ask participants:

How would we know we are making progress?

Capture every suggestion.

Encourage quantity over quality.

Avoid evaluating metrics while they are being generated.","Keep participants focused on measurable signals rather than solutions or outputs.

Push for observable outcomes where possible."
Theme Sort Metrics,Cluster Metrics,Objectives and Key Results (OKRs),6,5,Group similar metrics together and identify the strongest indicators of success.,Theme Sort (https://app.notion.com/p/Theme-Sort-373eb253b7f680a79694c82252566fab?pvs=21),cluster,"Group similar metrics into clusters.

Remove duplicates.

Identify common themes and discuss which measures best indicate progress.","Focus on clarity and relevance.

Do not spend time debating exact numbers at this stage."
Select Success Metrics,Select Metrics,Objectives and Key Results (OKRs),7,5,Identify the most meaningful metrics that will become Key Results.,Blind Vote (https://app.notion.com/p/Blind-Vote-373eb253b7f680fdb80effd9c0fd2384?pvs=21),vote,"Review the grouped metrics.

Ask participants to independently vote for the metrics they believe best represent progress towards the objective.

Reveal votes simultaneously.

Select the highest scoring metrics for the next step.","Limit the final selection to a small number of metrics.

Focus on quality and relevance rather than quantity.

The chosen metrics should be understandable and measurable."
Create Key Results,,Objectives and Key Results (OKRs),8,5,Convert selected metrics into measurable Key Results.,,create,"Review each selected metric.

Turn each metric into a measurable target.

Capture the baseline if known and define a target outcome.

Ensure each Key Result can be objectively measured.","Avoid vague targets.

Push for measurable and time-bound outcomes.

Challenge targets that are either unrealistic or too easy to achieve."
Review and Commit,Review & Commit,Objectives and Key Results (OKRs),9,5,Confirm alignment on the final Objective and Key Results and agree ownership.,"Who, What, When (https://app.notion.com/p/Who-What-When-373eb253b7f68060a116d23c05af6816?pvs=21)",commit,"Review the final Objective and Key Results.

Agree who owns each Key Result.

Capture any follow-up actions and review dates.

Confirm commitment from the group before closing the activity.","Do not end the workshop without clear ownership.

Ensure actions are assigned to individuals rather than teams.

Finish with clarity on what happens next and when progress will be reviewed."
Define the Problem,,Five Whys,1,5,Create a shared understanding of the problem that will be explored during the activity.,,define,"Present the problem statement to the group.

Review any relevant evidence, examples or observations.

Ensure everyone agrees on the problem being explored before moving on.

Capture the final wording of the problem so it remains visible throughout the activity.","Spend time clarifying the problem if needed.

A poorly defined problem will lead to poor root-cause analysis.

Focus on observable issues rather than assumptions about causes."
