Step Name,Duration,Facilitator Notes,Instructions,Parent Block,Purpose,Step Order,Technique Used
Introduction,5,"Keep the introduction short and focused.

Avoid teaching OKRs in depth.

The goal is to create enough understanding for participants to confidently take part in the activity.","Introduce the purpose of the workshop.

Explain the difference between Objectives and Key Results.

Set expectations for the session and explain that the goal is to align around a single objective and measurable indicators of success.

Review the agenda and answer any questions before beginning.",Objectives and Key Results (OKRs) (https://app.notion.com/p/Objectives-and-Key-Results-OKRs-373eb253b7f68077acd4f9dbe3b761bc?pvs=21),Create a shared understanding of the workshop objective and explain how OKRs will be used during the session.,1,
Review Objectives,5,"Do not debate which objective is best at this stage.

Focus only on understanding and clarification.","Review each submitted objective one at a time.

Clarify wording where needed.

Ensure participants understand what each objective is trying to achieve before moving on.",Objectives and Key Results (OKRs) (https://app.notion.com/p/Objectives-and-Key-Results-OKRs-373eb253b7f68077acd4f9dbe3b761bc?pvs=21),Review proposed objectives and ensure everyone understands the options being considered.,2,
Theme Sort Objectives,10,"Avoid naming themes too early.

Focus on patterns and relationships rather than perfect categorisation.","Ask participants to group similar objectives together.

Discuss emerging themes and identify overlaps.

Create labels for each cluster once patterns begin to emerge.",Objectives and Key Results (OKRs) (https://app.notion.com/p/Objectives-and-Key-Results-OKRs-373eb253b7f68077acd4f9dbe3b761bc?pvs=21),Group similar objectives together and identify common themes.,3,Theme Sort (https://app.notion.com/p/Theme-Sort-373eb253b7f680a79694c82252566fab?pvs=21)
Select Objective,10,"Avoid debate before voting.

Blind voting helps reduce hierarchy and groupthink.

The objective is alignment, not unanimity.","Review the objective themes.

Allow participants a short period to reflect independently.

Run a blind vote.

Reveal results simultaneously.

If there is no clear outcome, facilitate a short discussion and conduct a second round of voting.",Objectives and Key Results (OKRs) (https://app.notion.com/p/Objectives-and-Key-Results-OKRs-373eb253b7f68077acd4f9dbe3b761bc?pvs=21),Select a single objective that the group believes should be the primary focus.,4,Blind Vote (https://app.notion.com/p/Blind-Vote-373eb253b7f680fdb80effd9c0fd2384?pvs=21)
Generate Success Metrics,10,"Keep participants focused on measurable signals rather than solutions or outputs.

Push for observable outcomes where possible.","Ask participants:

How would we know we are making progress?

Capture every suggestion.

Encourage quantity over quality.

Avoid evaluating metrics while they are being generated.",Objectives and Key Results (OKRs) (https://app.notion.com/p/Objectives-and-Key-Results-OKRs-373eb253b7f68077acd4f9dbe3b761bc?pvs=21),Generate possible measures that indicate progress towards the selected objective.,5,
Theme Sort Metrics,5,"Focus on clarity and relevance.

Do not spend time debating exact numbers at this stage.","Group similar metrics into clusters.

Remove duplicates.

Identify common themes and discuss which measures best indicate progress.",Objectives and Key Results (OKRs) (https://app.notion.com/p/Objectives-and-Key-Results-OKRs-373eb253b7f68077acd4f9dbe3b761bc?pvs=21),Group similar metrics together and identify the strongest indicators of success.,6,Theme Sort (https://app.notion.com/p/Theme-Sort-373eb253b7f680a79694c82252566fab?pvs=21)
Select Success Metrics,5,"Limit the final selection to a small number of metrics.

Focus on quality and relevance rather than quantity.

The chosen metrics should be understandable and measurable.","Review the grouped metrics.

Ask participants to independently vote for the metrics they believe best represent progress towards the objective.

Reveal votes simultaneously.

Select the highest scoring metrics for the next step.",Objectives and Key Results (OKRs) (https://app.notion.com/p/Objectives-and-Key-Results-OKRs-373eb253b7f68077acd4f9dbe3b761bc?pvs=21),Identify the most meaningful metrics that will become Key Results.,7,Blind Vote (https://app.notion.com/p/Blind-Vote-373eb253b7f680fdb80effd9c0fd2384?pvs=21)
Create Key Results,5,"Avoid vague targets.

Push for measurable and time-bound outcomes.

Challenge targets that are either unrealistic or too easy to achieve.","Review each selected metric.

Turn each metric into a measurable target.

Capture the baseline if known and define a target outcome.

Ensure each Key Result can be objectively measured.",Objectives and Key Results (OKRs) (https://app.notion.com/p/Objectives-and-Key-Results-OKRs-373eb253b7f68077acd4f9dbe3b761bc?pvs=21),Convert selected metrics into measurable Key Results.,8,
Review and Commit,5,"Do not end the workshop without clear ownership.

Ensure actions are assigned to individuals rather than teams.

Finish with clarity on what happens next and when progress will be reviewed.","Review the final Objective and Key Results.

Agree who owns each Key Result.

Capture any follow-up actions and review dates.

Confirm commitment from the group before closing the activity.",Objectives and Key Results (OKRs) (https://app.notion.com/p/Objectives-and-Key-Results-OKRs-373eb253b7f68077acd4f9dbe3b761bc?pvs=21),Confirm alignment on the final Objective and Key Results and agree ownership.,9,"Who, What, When (https://app.notion.com/p/Who-What-When-373eb253b7f68060a116d23c05af6816?pvs=21)"
Define the Problem,5,"Spend time clarifying the problem if needed.

A poorly defined problem will lead to poor root-cause analysis.

Focus on observable issues rather than assumptions about causes.","Present the problem statement to the group.

Review any relevant evidence, examples or observations.

Ensure everyone agrees on the problem being explored before moving on.

Capture the final wording of the problem so it remains visible throughout the activity.",Five Whys (https://app.notion.com/p/Five-Whys-373eb253b7f68085bcc4f82ab630e055?pvs=21),Create a shared understanding of the problem that will be explored during the activity.,1,
Why #1,5,"Encourage participants to use evidence and observations where possible.

Avoid jumping to solutions.

Focus on understanding causes rather than assigning blame.","Ask the group:

""Why is this problem happening?""

Capture all responses.

Discuss the responses and agree on the most likely cause.

Record the agreed cause clearly as it will become the input for the next why.",Five Whys (https://app.notion.com/p/Five-Whys-373eb253b7f68085bcc4f82ab630e055?pvs=21),Identify the most immediate cause of the problem.,2,
Why #2,5,"Keep digging beneath symptoms.

Challenge assumptions and ask for evidence where possible.

Avoid accepting the first answer without discussion.

The objective is to move closer to the root cause.","Take the agreed cause from Why #1.

Ask the group:

""Why is this happening?""

Capture responses.

Discuss the responses and agree on the most likely underlying cause.

Record the agreed cause so it can be explored further in the next step.",Five Whys (https://app.notion.com/p/Five-Whys-373eb253b7f68085bcc4f82ab630e055?pvs=21),Explore the underlying cause of the first identified cause.,3,
Why #3,5,"Watch for participants repeating previous answers in different words.

Encourage the group to think about systems, processes and behaviours.

If the discussion moves towards solutions, redirect the conversation back to causes.","Take the agreed cause from Why #2.

Ask the group:

""Why is this happening?""

Capture responses.

Discuss the responses and agree on the most likely underlying cause.

Record the agreed cause so it can be explored further in the next step.",Five Whys (https://app.notion.com/p/Five-Whys-373eb253b7f68085bcc4f82ab630e055?pvs=21),Continue exploring deeper causes to move beyond surface-level explanations.,4,
Why #4,5,"By this stage the group should be moving beyond symptoms and into organisational, process or behavioural causes.

Keep asking for evidence and examples.","Take the agreed cause from Why #3.

Ask the group:

""Why is this happening?""

Capture responses.

Discuss the responses and agree on the most likely underlying cause.

Record the agreed cause so it can be explored further in the next step.",Five Whys (https://app.notion.com/p/Five-Whys-373eb253b7f68085bcc4f82ab630e055?pvs=21),Explore deeper systemic causes and identify factors contributing to the problem.,5,
Why #5,5,"Do not force the group to stop at exactly five levels if a root cause has already emerged.

Equally, do not stop too early if the group is still discussing symptoms.","Take the agreed cause from Why #4.

Ask the group:

""Why is this happening?""

Capture responses.

Discuss the responses and agree on the most likely root cause.

Record the final root cause clearly and visibly.",Five Whys (https://app.notion.com/p/Five-Whys-373eb253b7f68085bcc4f82ab630e055?pvs=21),Identify the root cause or causes that the group believes are driving the problem.,6,
Review Root Causes,5,"Look for gaps in logic.

Challenge conclusions that are not supported by evidence.

It is acceptable to identify multiple root causes if they are connected.","Review each why and its corresponding answer.

Walk the group through the full chain of reasoning.

Confirm agreement on the root cause or causes before moving on.",Five Whys (https://app.notion.com/p/Five-Whys-373eb253b7f68085bcc4f82ab630e055?pvs=21),Review the chain of causes and confirm the root cause or causes identified by the group.,7,
Define Next Steps,10,"Five Whys should rarely end without action.

Ensure the outputs are carried into the next activity, such as Problem Statement, How Might We or Opportunity Mapping.","Review the identified root causes.

Agree any immediate actions, owners and follow-up activities.

Capture next steps and ensure accountability before closing the activity.",Five Whys (https://app.notion.com/p/Five-Whys-373eb253b7f68085bcc4f82ab630e055?pvs=21),Agree how the root causes will be used to inform future activities or decisions.,8,"Who, What, When (https://app.notion.com/p/Who-What-When-373eb253b7f68060a116d23c05af6816?pvs=21)"
Review Context & Evidence,10,"Focus on facts and evidence rather than opinions.

Avoid discussing solutions.

The goal is to establish a shared understanding of the situation.","Review the available research, insights, feedback and evidence.

Present key findings and observations.

Allow participants to ask clarifying questions.

Ensure everyone has a common understanding of the challenge before defining the problem.",Problem Statement (https://app.notion.com/p/Problem-Statement-373eb253b7f680faa68af78e68f8ce42?pvs=21),"Create a shared understanding of the evidence, research and observations that led to the workshop.",1,
Capture Problem Statements,10,"Keep participants focused on the problem.

Do not allow solution statements.

Individual thinking before discussion usually produces better results.","Ask participants to individually write their version of the problem statement.

Encourage concise statements.

Capture all responses before discussing them.",Problem Statement (https://app.notion.com/p/Problem-Statement-373eb253b7f680faa68af78e68f8ce42?pvs=21),Generate multiple perspectives on what the problem actually is.,2,
Theme Sort Problem Statements,15,"Look for patterns rather than perfect wording.

Avoid jumping to conclusions too early.

The goal is to understand how the group views the challenge.","Group similar problem statements together.

Identify recurring themes.

Discuss similarities and differences.

Create labels for each cluster.",Problem Statement (https://app.notion.com/p/Problem-Statement-373eb253b7f680faa68af78e68f8ce42?pvs=21),Identify common themes and patterns across the submitted problem statements.,3,Theme Sort (https://app.notion.com/p/Theme-Sort-373eb253b7f680a79694c82252566fab?pvs=21)
Draft Problem Statements,10,"Challenge vague language.

Ensure statements describe the problem rather than the solution.

Encourage participants to use evidence gathered earlier in the activity.","Using the themes identified, ask participants to draft candidate problem statements.

Aim for clear, concise and evidence-based statements.

Capture all drafts before evaluating them.",Problem Statement (https://app.notion.com/p/Problem-Statement-373eb253b7f680faa68af78e68f8ce42?pvs=21),Create a small number of candidate problem statements based on the themes identified.,4,
Refine & Consolidate,10,"Review the drafted problem statements.

Discuss strengths and weaknesses.

Combine similar statements and improve wording.

Reduce the list to a small number of strong candidates.","Review the drafted problem statements.

Discuss strengths and weaknesses.

Combine similar statements and improve wording.

Reduce the list to a small number of strong candidates.",Problem Statement (https://app.notion.com/p/Problem-Statement-373eb253b7f680faa68af78e68f8ce42?pvs=21),Refine the strongest candidate statements and consolidate them into a shortlist.,5,
Select Problem Statement,5,"The goal is alignment, not perfection.

If two statements are very similar, consider merging them before voting.

Capture the final agreed problem statement clearly and visibly.","Review the shortlisted problem statements.

Ask participants to independently vote for the statement they believe best represents the challenge.

Reveal votes simultaneously.

Select the winning statement or run a second round if needed.",Problem Statement (https://app.notion.com/p/Problem-Statement-373eb253b7f680faa68af78e68f8ce42?pvs=21),Align on the problem statement that will guide future activities.,6,Blind Vote (https://app.notion.com/p/Blind-Vote-373eb253b7f680fdb80effd9c0fd2384?pvs=21)
Review Problem Statement,5,"Keep this step brief.

The goal is alignment, not rewriting the problem statement.","Review the agreed problem statement.

Clarify any questions.

Ensure participants understand the challenge before moving into opportunity generation.",How Might We (https://app.notion.com/p/How-Might-We-373eb253b7f6800ab71de85617ce4030?pvs=21),Ensure everyone understands the problem statement that will be used to generate opportunities.,1,
Generate How Might We Statements,10,"Ask participants to rewrite the problem statement as a series of How Might We questions.

Encourage quantity over quality.

Capture all suggestions before discussing them.","Ask participants to rewrite the problem statement as a series of How Might We questions.

Encourage quantity over quality.

Capture all suggestions before discussing them.",How Might We (https://app.notion.com/p/How-Might-We-373eb253b7f6800ab71de85617ce4030?pvs=21),Generate multiple opportunity-focused questions from the problem statement.,2,
Theme Sort Opportunities,10,"Focus on opportunities rather than solutions.

Avoid debating feasibility at this stage.","Group similar How Might We questions together.

Identify common themes and opportunity areas.

Label each cluster.",How Might We (https://app.notion.com/p/How-Might-We-373eb253b7f6800ab71de85617ce4030?pvs=21),Identify patterns and common opportunity areas across the generated questions.,3,Theme Sort (https://app.notion.com/p/Theme-Sort-373eb253b7f680a79694c82252566fab?pvs=21)
