Activity Name,Stage,Duration,Purpose,Best Used When,Inputs Required,Outputs Produced,Layout Type,Instructions,Facilitator Notes,Remote Friendly
OKRs,Goals,60 mins,Help a team define a shared objective and measurable key results.,"The team lacks focus, has unclear goals, or needs measurable success criteria.","Business goal, Team context","Action plan, Shared goal",Columns,"1. Define the objective the team wants to achieve.

2. Generate potential objectives individually.

3. Discuss and refine options.

4. Agree on a single objective.

5. Brainstorm measurable indicators of success.

6. Select the most important metrics.

7. Convert metrics into specific key results.

8. Agree ownership and review cadence.","Encourage ambitious but realistic objectives.

Avoid creating multiple competing objectives.

Focus discussion on outcomes rather than outputs.

Ensure key results are measurable and time-bound.",Yes
Journey Map,Understand,60 mins,Map the user or customer experience from start to finish.,"The team needs to understand user behaviour, friction, drop-off, or experience gaps.","Analytics, Existing research, User feedback","Insights, Journey map",Columns,"1. Define the journey being explored.

2. Identify the key stages of the experience.

3. Capture user actions at each stage.

4. Capture thoughts, emotions and questions.

5. Identify pain points and friction.

6. Discuss opportunities for improvement.

7. Agree key insights.","Focus on the current experience before discussing solutions.

Use evidence wherever possible.

Encourage participants from different disciplines to contribute.

Pay particular attention to moments of confusion, frustration and drop-off.",Yes
Five Whys,Understand,30 mins,Explore root causes by repeatedly asking why a problem is happening.,The team sees symptoms but does not yet understand the underlying cause.,Problem statement,Insights,Rows,"1. Define the problem clearly.

2. Ask why the problem is occurring.

3. Record the answer.

4. Ask why again based on the previous answer.

5. Repeat until the root cause becomes visible.

6. Review findings and identify themes.

7. Agree areas requiring further investigation.","Do not force exactly five iterations.

Stop when the conversation reaches a meaningful root cause.

Avoid blaming people.

Focus on systems, behaviours and contributing factors.",Yes
Stakeholder Map,Understand,60 mins,"Identify stakeholders, influence, needs, and relationships.","The team needs to understand who is involved, affected, or influential.","Stakeholders, Team context","Alignment, Insights",Map,"1. List all stakeholders involved.

2. Capture their interests, goals and concerns.

3. Identify influence and decision-making authority.

4. Map relationships between stakeholders.

5. Identify areas of alignment and conflict.

6. Discuss engagement strategies.

7. Agree next steps.","Encourage participants to consider both obvious and hidden stakeholders.

Look for conflicting incentives.

Use the exercise to identify engagement risks and opportunities.",Yes
Problem Statement,Frame,60 mins,Turn a broad or unclear challenge into a focused problem statement.,The team has different interpretations of the problem or the challenge feels too broad.,"Existing research, Problem statement, User feedback","Alignment, Problem statement",Canvas,"1. Present available evidence and findings.

2. Discuss observations and patterns.

3. Capture possible problem statements.

4. Refine statements collaboratively.

5. Challenge assumptions and ambiguity.

6. Agree a clear and concise problem statement.

7. Validate that everyone understands it.","Prevent participants from jumping to solutions.

Focus on the problem itself.

Keep statements specific and evidence-based.

Challenge vague language.",Yes
How Might We,Frame,60 mins,Reframe problems into opportunity-focused prompts for ideation.,The team understands the problem and needs to create useful opportunity statements.,"Insights, Problem statement","Ideas, Problem statement",Rows,"1. Present available evidence and findings.

2. Discuss observations and patterns.

3. Capture possible problem statements.

4. Refine statements collaboratively.

5. Challenge assumptions and ambiguity.

6. Agree a clear and concise problem statement.

7. Validate that everyone understands it.","Encourage open-ended questions.

Avoid leading questions that imply a solution.

Focus on creating opportunity spaces rather than constraints.",Yes
Crazy Eights,Ideas,30 mins,Generate a range of solution ideas quickly.,"The team needs options, concepts, or alternative approaches.","Opportunities, Problem statement",Ideas,Canvas,"1. Present the challenge or opportunity.

2. Divide paper or canvas into eight sections.

3. Give participants one minute per section.

4. Generate one idea in each section.

5. Continue until all eight spaces are complete.

6. Share ideas with the group.

7. Discuss promising concepts.","Emphasise speed over quality.

Encourage participants to avoid self-editing.

The goal is variety and exploration rather than polished ideas.",Yes
Impact Effort Map,Evaluate,30 mins,Compare ideas or opportunities based on expected impact and effort.,The team has several options and needs to prioritise.,"Ideas, Opportunities","Decision, Prioritised list",Matrix,"1. List all ideas or opportunities.

2. Create a four-quadrant Impact vs Effort matrix.

3. Discuss and place items on the matrix.

4. Review placement collaboratively.

5. Identify quick wins.

6. Identify strategic investments.

7. Agree priorities.","Focus on relative comparison rather than precise scoring.

Challenge assumptions around effort and impact.

Look for opportunities to create alignment across the group.",Yes
Blind Vote,Decide,5 mins,Help the group make a quick decision without influence from louder voices.,The team needs to choose between options fairly and quickly.,"Ideas, Opportunities",Decision,Voting,"1. Present the available options.

2. Ensure participants understand each option.

3. Ask participants to vote privately.

4. Collect votes simultaneously.

5. Reveal results.

6. Discuss outcomes if necessary.

7. Confirm the final decision.","Use when dominant personalities may influence decisions.

Avoid debating options during voting.

The objective is to reveal genuine preferences.",Yes
Who What When,Decide,10 mins,"Turn decisions into clear ownership, actions, and timings.",The team has made a decision and needs to agree next steps.,"Decision, Stakeholders",Action plan,Rows,"1. Review decisions made during the workshop.

2. Identify required actions.

3. Assign ownership for each action.

4. Agree deadlines.

5. Capture dependencies and risks.

6. Confirm understanding.

7. Publish actions and commitments.","Do not leave actions unassigned.

Push for clear ownership.

Ensure deadlines are realistic.

End the workshop with visible accountability.",Yes
