Name,Block Type,Stage,Purpose,Inputs,Outputs,Outcomes,Typical Duration,Preparation Needed,Facilitator Notes,Energy Level,Building Block Steps,Building Block Steps 1,Workshop Design Logic,Workshop Design Logic 1
Theme Sort,Technique,"Discuss, Evaluate, Frame, Ideas, Understand","Group similar ideas, observations or pieces of information into meaningful themes to reveal patterns and support discussion.","Assumptions, Ideas, Insights, Opportunities, Research, Stakeholders, User feedback","Insights, Themes","Alignment, Opportunity discovery, Problem clarity, Shared understanding",15,"Prepare a board or workspace where notes can be moved freely.

Ensure participants have already generated or collected information to sort.

Theme Sort works best after idea generation, research review or information gathering activities.","Encourage participants to move notes silently before discussing.

Focus on identifying natural patterns rather than forcing categories.

Avoid naming themes too early.

When clusters begin to emerge, ask participants what connects the items.

Once clusters stabilise, create clear labels that describe the theme.

The goal is not organisation for its own sake. The goal is shared understanding.",Reflective,,"Theme Sort Objectives (https://app.notion.com/p/Theme-Sort-Objectives-373eb253b7f680a29a6af11711ee47c2?pvs=21), Theme Sort Metrics (https://app.notion.com/p/Theme-Sort-Metrics-373eb253b7f680a9bbf7e7da82073643?pvs=21), Theme Sort Problem Statements (https://app.notion.com/p/Theme-Sort-Problem-Statements-373eb253b7f680fcb6dbe3618febfdf3?pvs=21), Theme Sort Opportunities (https://app.notion.com/p/Theme-Sort-Opportunities-373eb253b7f680eaa68bd6345e1966b2?pvs=21), Review Opportunity Clusters (https://app.notion.com/p/Review-Opportunity-Clusters-373eb253b7f6805b93efe5f70b4eb31a?pvs=21), Review Priority Groups (https://app.notion.com/p/Review-Priority-Groups-373eb253b7f680b59193d5a5c50fa515?pvs=21), Theme Sort Responses (https://app.notion.com/p/Theme-Sort-Responses-373eb253b7f680a09506dff16504131e?pvs=21)",,
Blind Vote,Technique,"Decide, Discuss, Evaluate, Frame, Goals","Allow participants to make independent decisions without being influenced by dominant voices, hierarchy or groupthink.","Assumptions, Decision needed, Ideas, Objective, Opportunities, Problem statement, Risks","Decision, Prioritised list","Alignment, Commitment, Consensus, Decision making",5,"Clearly define what is being voted on.

Ensure all options are visible and understood by participants.

Decide voting criteria before starting.

Prepare a method for collecting votes simultaneously.","Do not allow participants to discuss their choices before voting.

Ensure everyone understands the options and criteria.

Ask participants to vote independently.

Reveal all votes at the same time.

Use discussion only after votes have been revealed.

If there is no clear outcome, run a second round or use the result to focus the next discussion.

Blind Vote is designed to reduce bias and create a more honest view of group opinion.",Reflective,,"Select Objective (https://app.notion.com/p/Select-Objective-373eb253b7f680e3bf04c431c8ce39a4?pvs=21), Select Success Metrics (https://app.notion.com/p/Select-Success-Metrics-373eb253b7f680239a2ddf76a2a4a9f4?pvs=21), Select Problem Statement (https://app.notion.com/p/Select-Problem-Statement-373eb253b7f6809287b8c7c30dd651fe?pvs=21), Select Opportunity Areas (https://app.notion.com/p/Select-Opportunity-Areas-373eb253b7f680c19a3dc89c24a23dd4?pvs=21), Select Priorities (https://app.notion.com/p/Select-Priorities-373eb253b7f680d5af5efa0f75b8c1e8?pvs=21), Select Priorities (https://app.notion.com/p/Select-Priorities-373eb253b7f680b1b7cfcbc54e0e7d21?pvs=21), Select Priorities (https://app.notion.com/p/Select-Priorities-373eb253b7f680dd9efdcbeba4268f7b?pvs=21)",Need Alignment On Options (https://app.notion.com/p/Need-Alignment-On-Options-373eb253b7f68072af94f366acff2d47?pvs=21),
Parking Lot,Technique,"Decide, Discuss","Capture off-topic questions, risks or ideas without derailing the workshop.","Ideas, Risks","Next steps, Risks","Action planning, Alignment",5,Create a clearly visible Parking Lot section on the workshop board before the session begins.,"Use the Parking Lot whenever discussions drift away from the workshop objective.

Acknowledge the contribution, capture it visibly and return focus to the current activity.

Review the Parking Lot before the workshop closes and decide whether items require actions, follow-up discussions or can be discarded.",Reflective,,,,
"Who, What, When",Technique,"Decide, Discuss","Turn decisions, ideas or recommendations into clear actions with ownership and accountability.","Actions, Decision needed, Ideas, Opportunities","Action plan, Next steps, Owership","Action planning, Commitment, Owernship",15,"Prepare a simple structure with three columns:

Who
What
When

Ensure decisions or actions have already been identified before running this technique.","Push for specific actions rather than vague intentions.

Every action should have a named owner and a clear deadline.

Avoid assigning actions to groups or teams.

Focus on commitment and accountability.",Reflective,,"Review and Commit (https://app.notion.com/p/Review-and-Commit-373eb253b7f680c89c53cc5ed21a45a3?pvs=21), Define Next Steps (https://app.notion.com/p/Define-Next-Steps-373eb253b7f68081b712f15bcf8e300b?pvs=21), Confirm Recommendations (https://app.notion.com/p/Confirm-Recommendations-373eb253b7f6809184f0c927bd154c5b?pvs=21), Commit Actions (https://app.notion.com/p/Commit-Actions-373eb253b7f68018beeed74bcf8bc49b?pvs=21), Commit Actions (https://app.notion.com/p/Commit-Actions-373eb253b7f6808ba72bce32c58085bf?pvs=21)",Need Actions And Ownership (https://app.notion.com/p/Need-Actions-And-Ownership-373eb253b7f68042a00ffab7e6e9195f?pvs=21),Need Alignment On Options (https://app.notion.com/p/Need-Alignment-On-Options-373eb253b7f68072af94f366acff2d47?pvs=21)
Dot Vote,Technique,"Decide, Evaluate",Quickly identify group preferences by allowing participants to distribute votes across multiple options.,"Assumptions, Ideas, Opportunities",Prioritised list,"Consensus, Prioritisation",10,"Display all options clearly and ensure participants understand the voting criteria.

Decide how many votes each participant receives before starting.","Dot voting is best used to identify preferences, not make final decisions.

Ask participants to vote silently.

Review results as a group and discuss any surprising outcomes.

If required, use Blind Vote afterwards to make a final decision.",Reflective,,,,
Five Whys,Hybrid,"Frame, Understand",Explore the underlying causes of a problem by repeatedly asking why it is occurring.,"Problem, Problem statement","Insights, Root causes","Problem clarity, Root cause discovery, Shared understanding",45,"Start with a clearly defined problem statement.

Prepare space to capture each why and the corresponding answer.","Focus on understanding the system rather than assigning blame.

Do not force exactly five rounds.

Stop when the group reaches a meaningful root cause that they can influence.

If multiple causes emerge, capture them separately rather than forcing a single answer.",Reflective,"Define the Problem (https://app.notion.com/p/Define-the-Problem-373eb253b7f6806f9bade3e1c431c9ec?pvs=21), Why #1 (https://app.notion.com/p/Why-1-373eb253b7f6802e85e6f36b0293a4b5?pvs=21), Why #2 (https://app.notion.com/p/Why-2-373eb253b7f6807a9fe6cd17a091e14b?pvs=21), Why #3 (https://app.notion.com/p/Why-3-373eb253b7f680ff87bdf12ea74fa1e9?pvs=21), Why #4 (https://app.notion.com/p/Why-4-373eb253b7f6801bbdb8cd1a10a50f3d?pvs=21), Why #5 (https://app.notion.com/p/Why-5-373eb253b7f68070a50bfe7ee66c6097?pvs=21), Review Root Causes (https://app.notion.com/p/Review-Root-Causes-373eb253b7f68082b607fde30b9cf800?pvs=21), Define Next Steps (https://app.notion.com/p/Define-Next-Steps-373eb253b7f68081b712f15bcf8e300b?pvs=21)",,Root Cause Unknown (https://app.notion.com/p/Root-Cause-Unknown-373eb253b7f6806ca980c6417819de7c?pvs=21),
Objectives and Key Results (OKRs),Activity,Goals,Create alignment around a shared objective and define measurable indicators of success.,"Goal, Stakeholders, Team context","Key results, Objective, Success metrics","Alignment, Success measurement, goal setting",60,Create alignment around a shared objective and define measurable indicators of success.,"Push the group towards a single objective rather than multiple competing priorities.

Challenge vague objectives and encourage measurable key results.

Focus on outcomes rather than outputs.

Use voting when alignment cannot be reached through discussion.",Collaborative,"Introduction (https://app.notion.com/p/Introduction-373eb253b7f680e9a596c4846896b918?pvs=21), Review Objectives (https://app.notion.com/p/Review-Objectives-373eb253b7f68091bcb9ed249a549206?pvs=21), Theme Sort Objectives (https://app.notion.com/p/Theme-Sort-Objectives-373eb253b7f680a29a6af11711ee47c2?pvs=21), Select Objective (https://app.notion.com/p/Select-Objective-373eb253b7f680e3bf04c431c8ce39a4?pvs=21), Generate Success Metrics (https://app.notion.com/p/Generate-Success-Metrics-373eb253b7f680bea5b8df99ba1e8650?pvs=21), Theme Sort Metrics (https://app.notion.com/p/Theme-Sort-Metrics-373eb253b7f680a9bbf7e7da82073643?pvs=21), Select Success Metrics (https://app.notion.com/p/Select-Success-Metrics-373eb253b7f680239a2ddf76a2a4a9f4?pvs=21), Create Key Results (https://app.notion.com/p/Create-Key-Results-373eb253b7f680b6ae6fc47954950021?pvs=21), Review and Commit (https://app.notion.com/p/Review-and-Commit-373eb253b7f680c89c53cc5ed21a45a3?pvs=21)",,No Clear Goal (https://app.notion.com/p/No-Clear-Goal-373eb253b7f680679289e41572ad6c89?pvs=21),
Problem Statement,Activity,Frame,Create a clear and shared understanding of the problem that needs to be solved.,"Insights, Problem, Research, User feedback",Problem statement,"Alignment, Problem clarity, Shared understanding",60,"Gather research, insights and evidence related to the challenge.

Ensure participants have enough context to discuss the problem before beginning.","Keep the group focused on the problem rather than solutions.

Challenge assumptions and vague language.

A good problem statement should be specific, evidence-based and understandable by everyone in the room.",Collaborative,"Review Context & Evidence (https://app.notion.com/p/Review-Context-Evidence-373eb253b7f680b09a49df44ae4f067a?pvs=21), Capture Problem Statements (https://app.notion.com/p/Capture-Problem-Statements-373eb253b7f680058ebfd1fd7fb8860b?pvs=21), Theme Sort Problem Statements (https://app.notion.com/p/Theme-Sort-Problem-Statements-373eb253b7f680fcb6dbe3618febfdf3?pvs=21), Draft Problem Statements (https://app.notion.com/p/Draft-Problem-Statements-373eb253b7f68045a110e69eb3225ab1?pvs=21), Refine & Consolidate (https://app.notion.com/p/Refine-Consolidate-373eb253b7f680cb84b5ea98a3c9bbf8?pvs=21), Select Problem Statement (https://app.notion.com/p/Select-Problem-Statement-373eb253b7f6809287b8c7c30dd651fe?pvs=21)",,Problem Not Clearly Defined (https://app.notion.com/p/Problem-Not-Clearly-Defined-373eb253b7f680019328c3e34797c2e7?pvs=21),Root Cause Unknown (https://app.notion.com/p/Root-Cause-Unknown-373eb253b7f6806ca980c6417819de7c?pvs=21)
How Might We,Activity,"Frame, Ideas",Reframe problems into opportunity-focused questions that encourage solution exploration.,"Ideas, Opportunities","Ideas, Opportunities","Idea generation, Opportunity discovery",40,"Prepare a clear problem statement.

Ensure participants understand the challenge before beginning.

Create space to capture multiple How Might We statements and resulting ideas.","Avoid writing How Might We statements that already contain a solution.

Encourage participants to generate multiple statements before discussing them.

Keep questions broad enough to inspire creativity but focused enough to remain relevant to the challenge.",Energetic,"Review Problem Statement (https://app.notion.com/p/Review-Problem-Statement-373eb253b7f680a4aea5c7befa2ea62f?pvs=21), Generate How Might We Statements (https://app.notion.com/p/Generate-How-Might-We-Statements-373eb253b7f6804e8ebcc09624c491be?pvs=21), Theme Sort Opportunities (https://app.notion.com/p/Theme-Sort-Opportunities-373eb253b7f680eaa68bd6345e1966b2?pvs=21), Refine Opportunity Areas (https://app.notion.com/p/Refine-Opportunity-Areas-373eb253b7f680d2a066dfb19ce54f95?pvs=21), Select Opportunity Areas (https://app.notion.com/p/Select-Opportunity-Areas-373eb253b7f680c19a3dc89c24a23dd4?pvs=21)",,Need More Ideas (https://app.notion.com/p/Need-More-Ideas-373eb253b7f680f6aeadee21868cf25f?pvs=21),"No Clear Goal (https://app.notion.com/p/No-Clear-Goal-373eb253b7f680679289e41572ad6c89?pvs=21), Problem Not Clearly Defined (https://app.notion.com/p/Problem-Not-Clearly-Defined-373eb253b7f680019328c3e34797c2e7?pvs=21)"
Impact Effort Map,Hybrid,"Decide, Evaluate","Evaluate opportunities, ideas or actions by comparing their expected impact against the effort required to deliver them.","Ideas, Opportunities","Decision, Prioritised list","Alignment, Decision making, Prioritisation",45,"Prepare a matrix with two axes:

Impact
Effort

Ensure participants understand the evaluation criteria before placing items on the map.","Focus on relative comparison rather than trying to score items perfectly.

Challenge assumptions about effort and impact.

Use discussion to resolve major disagreements but avoid over-analysing individual items.

The goal is to identify which opportunities should be pursued first.",Collaborative,"Review Opportunities (https://app.notion.com/p/Review-Opportunities-373eb253b7f680b9a079f690bccb4c88?pvs=21), Create Impact Effort Matrix (https://app.notion.com/p/Create-Impact-Effort-Matrix-373eb253b7f68096bfa6e41963a6fd5d?pvs=21), Map Opportunities (https://app.notion.com/p/Map-Opportunities-373eb253b7f680679992f6a67e79fda1?pvs=21), Review Opportunity Clusters (https://app.notion.com/p/Review-Opportunity-Clusters-373eb253b7f6805b93efe5f70b4eb31a?pvs=21), Select Priorities (https://app.notion.com/p/Select-Priorities-373eb253b7f680d5af5efa0f75b8c1e8?pvs=21), Confirm Recommendations (https://app.notion.com/p/Confirm-Recommendations-373eb253b7f6809184f0c927bd154c5b?pvs=21)",,Too Many Opportunities (https://app.notion.com/p/Too-Many-Opportunities-373eb253b7f6809685a7f2bdd4cde65e?pvs=21),Need More Ideas (https://app.notion.com/p/Need-More-Ideas-373eb253b7f680f6aeadee21868cf25f?pvs=21)
