Problem Signal,Category,Notes,Recommended Framework,Recommended Workshop
Users are confused,Customer understanding,Users appear to have a different understanding of the experience than the system behaviour. Investigate expectation gaps before proposing solutions.,Reality Gap Framework (https://app.notion.com/p/Reality-Gap-Framework-371eb253b7f680c8b6accd28c804134f?pvs=21),Journey Mapping Workshop (https://app.notion.com/p/Journey-Mapping-Workshop-371eb253b7f6809ba5d8c187373da135?pvs=21)
Support tickets increasing,Customer understanding,,Reality Gap Framework (https://app.notion.com/p/Reality-Gap-Framework-371eb253b7f680c8b6accd28c804134f?pvs=21),Discovery Workshop (https://app.notion.com/p/Discovery-Workshop-371eb253b7f6807e9adcf261f13451a8?pvs=21)
Drop-off increasing,Customer understanding,,Reality Gap Framework (https://app.notion.com/p/Reality-Gap-Framework-371eb253b7f680c8b6accd28c804134f?pvs=21),Journey Mapping Workshop (https://app.notion.com/p/Journey-Mapping-Workshop-371eb253b7f6809ba5d8c187373da135?pvs=21)
Customer expectations not met,Customer understanding,,Reality Gap Framework (https://app.notion.com/p/Reality-Gap-Framework-371eb253b7f680c8b6accd28c804134f?pvs=21),Journey Mapping Workshop (https://app.notion.com/p/Journey-Mapping-Workshop-371eb253b7f6809ba5d8c187373da135?pvs=21)
Multiple teams involved,Systems & Operations,,Hidden Dependencies Framework (https://app.notion.com/p/Hidden-Dependencies-Framework-371eb253b7f6808ca8eff04138299d0a?pvs=21),System Alignment Workshop (https://app.notion.com/p/System-Alignment-Workshop-371eb253b7f680f6a9a4ed6ed10d7179?pvs=21)
Ownership unclear,Systems & Operations,,Hidden Dependencies Framework (https://app.notion.com/p/Hidden-Dependencies-Framework-371eb253b7f6808ca8eff04138299d0a?pvs=21),System Alignment Workshop (https://app.notion.com/p/System-Alignment-Workshop-371eb253b7f680f6a9a4ed6ed10d7179?pvs=21)
Workflow takes too long,Systems & Operations,,Operational Friction Framework (https://app.notion.com/p/Operational-Friction-Framework-371eb253b7f680db9235db80ca4ce77c?pvs=21),System Alignment Workshop (https://app.notion.com/p/System-Alignment-Workshop-371eb253b7f680f6a9a4ed6ed10d7179?pvs=21)
Manual workarounds common,Systems & Operations,,Operational Friction Framework (https://app.notion.com/p/Operational-Friction-Framework-371eb253b7f680db9235db80ca4ce77c?pvs=21),System Alignment Workshop (https://app.notion.com/p/System-Alignment-Workshop-371eb253b7f680f6a9a4ed6ed10d7179?pvs=21)
Too many findings,Strategy & Opportunities,,Opportunity Prioritisation Framework (https://app.notion.com/p/Opportunity-Prioritisation-Framework-371eb253b7f680a4b01ef2cf8c5d7fd7?pvs=21),Opportunity Mapping Workshop (https://app.notion.com/p/Opportunity-Mapping-Workshop-371eb253b7f6808ca9d7ca960fd4e487?pvs=21)
Need strategic direction,Strategy & Opportunities,,Operational Friction Framework (https://app.notion.com/p/Operational-Friction-Framework-371eb253b7f680db9235db80ca4ce77c?pvs=21),Opportunity Mapping Workshop (https://app.notion.com/p/Opportunity-Mapping-Workshop-371eb253b7f6808ca9d7ca960fd4e487?pvs=21)
Scope too large,MVP & Delivery,,Layered MVP Framework (https://app.notion.com/p/Layered-MVP-Framework-371eb253b7f68017a59ff501886f012f?pvs=21),MVP Definition Workshop (https://app.notion.com/p/MVP-Definition-Workshop-371eb253b7f6800cba43cda09ffd651d?pvs=21)
Stakeholders want everything,MVP & Delivery,,Layered MVP Framework (https://app.notion.com/p/Layered-MVP-Framework-371eb253b7f68017a59ff501886f012f?pvs=21),MVP Definition Workshop (https://app.notion.com/p/MVP-Definition-Workshop-371eb253b7f6800cba43cda09ffd651d?pvs=21)
Engineering constraints,MVP & Delivery,,Layered MVP Framework (https://app.notion.com/p/Layered-MVP-Framework-371eb253b7f68017a59ff501886f012f?pvs=21),MVP Definition Workshop (https://app.notion.com/p/MVP-Definition-Workshop-371eb253b7f6800cba43cda09ffd651d?pvs=21)
Root cause unknown,Discovery,,Reality Gap Framework (https://app.notion.com/p/Reality-Gap-Framework-371eb253b7f680c8b6accd28c804134f?pvs=21),Discovery Workshop (https://app.notion.com/p/Discovery-Workshop-371eb253b7f6807e9adcf261f13451a8?pvs=21)
No evidence available,Discovery,,Reality Gap Framework (https://app.notion.com/p/Reality-Gap-Framework-371eb253b7f680c8b6accd28c804134f?pvs=21),Discovery Workshop (https://app.notion.com/p/Discovery-Workshop-371eb253b7f6807e9adcf261f13451a8?pvs=21)
