Activity Name,Best Used When,Duration,Facilitator Notes,Inputs Required,Instructions,Layout Type,Outputs Produced,Purpose,Remote Friendly,Stage
OKRs,"The team lacks focus, has unclear goals, or needs measurable success criteria.",60 mins,"Encourage ambitious but realistic objectives.

Avoid creating multiple competing objectives.

Focus discussion on outcomes rather than outputs.

Ensure key results are measurable and time-bound.","Business goal, Team context","1. Define the objective the team wants to achieve.

2. Generate potential objectives individually.

3. Discuss and refine options.

4. Agree on a single objective.

5. Brainstorm measurable indicators of success.

6. Select the most important metrics.

7. Convert metrics into specific key results.

8. Agree ownership and review cadence.",Columns,"Action plan, Shared goal",Help a team define a shared objective and measurable key results.,Yes,Goals
Journey Map,"The team needs to understand user behaviour, friction, drop-off, or experience gaps.",60 mins,"Focus on the current experience before discussing solutions.

Use evidence wherever possible.

Encourage participants from different disciplines to contribute.

Pay particular attention to moments of confusion, frustration and drop-off.","Analytics, Existing research, User feedback","1. Define the journey being explored.

2. Identify the key stages of the experience.

3. Capture user actions at each stage.

4. Capture thoughts, emotions and questions.

5. Identify pain points and friction.

6. Discuss opportunities for improvement.

7. Agree key insights.",Columns,"Insights, Journey map",Map the user or customer experience from start to finish.,Yes,Understand
Five Whys,The team sees symptoms but does not yet understand the underlying cause.,30 mins,"Do not force exactly five iterations.

Stop when the conversation reaches a meaningful root cause.

Avoid blaming people.

Focus on systems, behaviours and contributing factors.",Problem statement,"1. Define the problem clearly.

2. Ask why the problem is occurring.

3. Record the answer.

4. Ask why again based on the previous answer.

5. Repeat until the root cause becomes visible.

6. Review findings and identify themes.

7. Agree areas requiring further investigation.",Rows,Insights,Explore root causes by repeatedly asking why a problem is happening.,Yes,Understand
Stakeholder Map,"The team needs to understand who is involved, affected, or influential.",60 mins,"Encourage participants to consider both obvious and hidden stakeholders.

Look for conflicting incentives.

Use the exercise to identify engagement risks and opportunities.","Stakeholders, Team context","1. List all stakeholders involved.

2. Capture their interests, goals and concerns.

3. Identify influence and decision-making authority.

4. Map relationships between stakeholders.

5. Identify areas of alignment and conflict.

6. Discuss engagement strategies.

7. Agree next steps.",Map,"Alignment, Insights","Identify stakeholders, influence, needs, and relationships.",Yes,Understand
Problem Statement,The team has different interpretations of the problem or the challenge feels too broad.,60 mins,"Prevent participants from jumping to solutions.

Focus on the problem itself.

Keep statements specific and evidence-based.

Challenge vague language.","Existing research, Problem statement, User feedback","1. Present available evidence and findings.

2. Discuss observations and patterns.

3. Capture possible problem statements.

4. Refine statements collaboratively.

5. Challenge assumptions and ambiguity.

6. Agree a clear and concise problem statement.

7. Validate that everyone understands it.",Canvas,"Alignment, Problem statement",Turn a broad or unclear challenge into a focused problem statement.,Yes,Frame
How Might We,The team understands the problem and needs to create useful opportunity statements.,60 mins,"Encourage open-ended questions.

Avoid leading questions that imply a solution.

Focus on creating opportunity spaces rather than constraints.","Insights, Problem statement","1. Present available evidence and findings.

2. Discuss observations and patterns.

3. Capture possible problem statements.

4. Refine statements collaboratively.

5. Challenge assumptions and ambiguity.

6. Agree a clear and concise problem statement.

7. Validate that everyone understands it.",Rows,"Ideas, Problem statement",Reframe problems into opportunity-focused prompts for ideation.,Yes,Frame
Crazy Eights,"The team needs options, concepts, or alternative approaches.",30 mins,"Emphasise speed over quality.

Encourage participants to avoid self-editing.

The goal is variety and exploration rather than polished ideas.","Opportunities, Problem statement","1. Present the challenge or opportunity.

2. Divide paper or canvas into eight sections.

3. Give participants one minute per section.

4. Generate one idea in each section.

5. Continue until all eight spaces are complete.

6. Share ideas with the group.

7. Discuss promising concepts.",Canvas,Ideas,Generate a range of solution ideas quickly.,Yes,Ideas
Impact Effort Map,The team has several options and needs to prioritise.,30 mins,"Focus on relative comparison rather than precise scoring.

Challenge assumptions around effort and impact.

Look for opportunities to create alignment across the group.","Ideas, Opportunities","1. List all ideas or opportunities.

2. Create a four-quadrant Impact vs Effort matrix.

3. Discuss and place items on the matrix.

4. Review placement collaboratively.

5. Identify quick wins.

6. Identify strategic investments.

7. Agree priorities.",Matrix,"Decision, Prioritised list",Compare ideas or opportunities based on expected impact and effort.,Yes,Evaluate
Blind Vote,The team needs to choose between options fairly and quickly.,5 mins,"Use when dominant personalities may influence decisions.

Avoid debating options during voting.

The objective is to reveal genuine preferences.","Ideas, Opportunities","1. Present the available options.

2. Ensure participants understand each option.

3. Ask participants to vote privately.

4. Collect votes simultaneously.

5. Reveal results.

6. Discuss outcomes if necessary.

7. Confirm the final decision.",Voting,Decision,Help the group make a quick decision without influence from louder voices.,Yes,Decide
Who What When,The team has made a decision and needs to agree next steps.,10 mins,"Do not leave actions unassigned.

Push for clear ownership.

Ensure deadlines are realistic.

End the workshop with visible accountability.","Decision, Stakeholders","1. Review decisions made during the workshop.

2. Identify required actions.

3. Assign ownership for each action.

4. Agree deadlines.

5. Capture dependencies and risks.

6. Confirm understanding.

7. Publish actions and commitments.",Rows,Action plan,"Turn decisions into clear ownership, actions, and timings.",Yes,Decide
G.R.O.W,"The team needs clarity on direction, objectives or next steps.",60 mins,"Keep the conversation grounded in reality.

Avoid jumping straight to solutions.

Spend sufficient time exploring the current situation before discussing options.

Ensure the session ends with clear commitments and actions.","Business goal, Team context","1. Define the Goal the team wants to achieve.

2. Explore the current Reality of the situation.

3. Generate Options for moving forward.

4. Discuss the pros and cons of each option.

5. Agree on the Way Forward.

6. Capture actions, owners and timelines.",Rows,"Action plan, Shared goal","Help individuals or teams define goals, understand reality, explore options and agree actions.",Yes,Goals
Sailboat,The team needs alignment around goals and obstacles.,60 mins,"Use the visual metaphor to encourage participation.

Ensure both positive and negative factors are explored.

Focus on practical actions that can be taken after the workshop.","Business goal, Team context","1. Draw a sailboat heading towards an island.

2. Define the destination or goal.

3. Identify what is helping move the team forward.

4. Identify anchors slowing progress.

5. Identify risks or obstacles ahead.

6. Discuss actions to reduce anchors and increase momentum.",Canvas,"Alignment, Risks, Shared goal","Explore goals, risks, blockers and opportunities using a visual metaphor.",Yes,Goals
