Activity Name,Stage,Duration,Purpose,Best Used When,Inputs Required,Outputs Produced,Activity Outcomes,Techniques Used,Preparation Needed,Step-by-Step Flow,Timing Breakdown,Facilitator Notes,If Running Long,Good Output Looks Like,FigJam Board Requirements,Layout Type,Remote Friendly,Complexity,Energy Level,Recommended Participants,Activity family
Objectives and Key Results (OKRs),Goals,60 mins,Create alignment around a shared objective and define measurable indicators of success.,"The team has competing priorities, unclear success measures, multiple stakeholder opinions, or lacks a shared direction. Useful for quarterly planning, strategy workshops and project kick-offs.","Business goal, Stakeholders, Team context","Alignment, Key results, Shared goal, Success metrics","Alignment, Commitment, Goal setting, Strategy definition, Success measurement","Blind vote, Clustering, Discussion, Dot voting, Theme Sort",Before the workshop ask participants to submit one proposed objective.Prepare a board with:- Objective submission area- Objective clustering area- Voting area- Metrics generation area- Final OKR area- Actions and owners areaEnsure everyone understands the purpose of the session before joining.,"Step 1 – Introduction

Explain the purpose of the session.

Introduce Objectives and Key Results.

Explain that the goal is to align around one primary objective and define measurable indicators of success.

---

Step 2 – Review Objectives

Review all submitted objectives.

Ensure everyone understands each proposal.

Clarify wording where necessary.

---

Step 3 – Theme Sort Objectives

Group similar objectives together.

Identify common themes.

Discuss overlaps and differences.

---

Step 4 – Select Objective

Discuss the strongest options.

Run a blind vote.

If necessary conduct a second round.

Agree one primary objective.

---

Step 5 – Generate Success Metrics

Ask participants:

How would we know we are making progress?

Capture all suggested metrics.

Focus on quantity over quality initially.

---

Step 6 – Theme Sort Metrics

Group similar metrics.

Remove duplicates.

Identify the strongest indicators of success.

---

Step 7 – Select Metrics

Use dot voting or blind voting.

Select the three most meaningful metrics.

---

Step 8 – Create Key Results

Convert each metric into a measurable target.

Example:

Metric:
Customer retention

Key Result:
Increase customer retention from 62% to 75%.

---

Step 9 – Review and Commit

Review the final objective.

Review all key results.

Confirm ownership.

Agree review cadence and next steps.","5 mins – Introduction

5 mins – Review Objectives

10 mins – Theme Sort Objectives

10 mins – Discuss & Blind Vote

10 mins – Generate Metrics

5 mins – Theme Sort Metrics

5 mins – Vote on Metrics

5 mins – Create Key Results

5 mins – Review & Commit

Total = 60 mins","Push for a single objective.

Challenge vague wording.

Avoid discussing solutions.

Focus on outcomes rather than outputs.

Encourage ambitious but realistic key results.

Keep debate time-boxed.

Use voting to break deadlocks.","Reduce discussion time.

Move to voting sooner.

Capture unresolved points in a parking lot.

Use facilitator decision-making if alignment cannot be reached within the allocated time.

If metric generation is running long, stop at the top five metrics and move into prioritisation.","One agreed objective.

Three measurable key results.

Named owners.

Review cadence agreed.

Clear understanding of what success looks like.","Section 1 – Workshop Overview

Section 2 – Proposed Objectives

Section 3 – Objective Clustering

Section 4 – Objective Voting

Section 5 – Metrics Generation

Section 6 – Metrics Clustering

Section 7 – Metrics Voting

Section 8 – Final OKRs

Section 9 – Actions & Owners",Hybrid,Hybrid,Medium,Medium,4–12 participants,
Journey Map,Understand,60 mins,Map the user or customer experience from start to finish.,"The team needs to understand user behaviour, friction, drop-off, or experience gaps.","Analytics, Existing research, User feedback","Insights, Journey map",,,,,,"Focus on the current experience before discussing solutions.

Use evidence wherever possible.

Encourage participants from different disciplines to contribute.

Pay particular attention to moments of confusion, frustration and drop-off.",,,,,Yes,,,,
Five Whys,Understand,30 mins,Explore root causes by repeatedly asking why a problem is happening.,The team sees symptoms but does not yet understand the underlying cause.,Problem statement,Insights,,,,,,"Do not force exactly five iterations.

Stop when the conversation reaches a meaningful root cause.

Avoid blaming people.

Focus on systems, behaviours and contributing factors.",,,,,Yes,,,,
Stakeholder Map,Understand,60 mins,"Identify stakeholders, influence, needs, and relationships.","The team needs to understand who is involved, affected, or influential.","Stakeholders, Team context","Alignment, Insights",,,,,,"Encourage participants to consider both obvious and hidden stakeholders.

Look for conflicting incentives.

Use the exercise to identify engagement risks and opportunities.",,,,,Yes,,,,
Problem Statement,Frame,60 mins,Turn a broad or unclear challenge into a focused problem statement.,The team has different interpretations of the problem or the challenge feels too broad.,"Existing research, Problem statement, User feedback","Alignment, Problem statement",,,,,,"Prevent participants from jumping to solutions.

Focus on the problem itself.

Keep statements specific and evidence-based.

Challenge vague language.",,,,,Yes,,,,
How Might We,Frame,60 mins,Reframe problems into opportunity-focused prompts for ideation.,The team understands the problem and needs to create useful opportunity statements.,"Insights, Problem statement","Ideas, Problem statement",,,,,,"Encourage open-ended questions.

Avoid leading questions that imply a solution.

Focus on creating opportunity spaces rather than constraints.",,,,,Yes,,,,
Crazy Eights,Ideas,30 mins,Generate a range of solution ideas quickly.,"The team needs options, concepts, or alternative approaches.","Opportunities, Problem statement",Ideas,,,,,,"Emphasise speed over quality.

Encourage participants to avoid self-editing.

The goal is variety and exploration rather than polished ideas.",,,,,Yes,,,,
Impact Effort Map,Evaluate,30 mins,Compare ideas or opportunities based on expected impact and effort.,The team has several options and needs to prioritise.,"Ideas, Opportunities","Decision, Prioritised list",,,,,,"Focus on relative comparison rather than precise scoring.

Challenge assumptions around effort and impact.

Look for opportunities to create alignment across the group.",,,,,Yes,,,,
Blind Vote,Decide,5 mins,Help the group make a quick decision without influence from louder voices.,The team needs to choose between options fairly and quickly.,"Ideas, Opportunities",Decision,,,,,,"Use when dominant personalities may influence decisions.

Avoid debating options during voting.

The objective is to reveal genuine preferences.",,,,,Yes,,,,
Who What When,Decide,10 mins,"Turn decisions into clear ownership, actions, and timings.",The team has made a decision and needs to agree next steps.,"Decision, Stakeholders",Action plan,,,,,,"Do not leave actions unassigned.

Push for clear ownership.

Ensure deadlines are realistic.

End the workshop with visible accountability.",,,,,Yes,,,,
