Activity Name,Activity Outcomes,Activity family,Best Used When,Complexity,Duration,Energy Level,Facilitator Notes,FigJam Board Requirements,Good Output Looks Like,If Running Long,Inputs Required,Layout Type,Outputs Produced,Preparation Needed,Purpose,Recommended Participants,Remote Friendly,Stage,Step-by-Step Flow,Techniques Used,Timing Breakdown
Assumption Collecting,,,The team suspects decisions are being driven by opinion rather than evidence.,,60 mins,,"Create a safe environment for participants to challenge existing thinking.

Distinguish assumptions from facts.

Prioritise assumptions that carry the greatest risk.",,,,Team context,,"Insights, Risks",,Identify assumptions influencing decisions.,,Yes,Understand,,,
Newspaper Headline,,,The team needs a shared vision of success.,,60 mins,,"Encourage ambitious thinking.

Avoid discussing constraints too early.

Use the headlines to create a shared picture of success.",,,,Business goal,,"Alignment, Shared goal",,Define future success by imagining a positive headline about the outcome.,,Yes,Goals,,,
Roles & Responsibilities,,,Ownership or accountability is unclear.,,60 mins,,"Keep the discussion objective and focused on clarity.

Avoid turning the session into a performance review.

Focus on improving collaboration and accountability.",,,,"Stakeholders, Team context",,"Alignment, Decision",,Clarify ownership and responsibilities across teams.,,Yes,Understand,,,
Reverse Brainstorm,,,"The team feels stuck, is suffering from groupthink, or keeps generating similar ideas.",,60 mins,,"This works best when teams are stuck or repeating the same ideas.

Encourage humour and exaggeration.

The value comes from reversing the negative ideas.",,,,"Problem statement, Team context",,Ideas,,Generate solutions by exploring how to make the problem worse first.,,Yes,Ideas,,,
Three Little Pigs,,,"The team needs to evaluate whether solutions are fragile, developing or robust.",,60 mins,,"Focus discussion on evidence rather than opinion.

Challenge assumptions.

Use the exercise to identify risk and increase confidence in decision making.",,,,"Ideas, Opportunities, Stakeholders",,"Decision, Insights",,"Assess ideas, processes or initiatives based on confidence and maturity.",,Yes,Discuss,,,
Start Stop Continue,,,"The team needs alignment, reflection or agreement on future ways of working.",,60 mins,,"Keep the discussion constructive.

Avoid personal criticism.

Focus on behaviours, processes and ways of working rather than individuals.

Push for actionable outcomes.",,,,"Stakeholders, Team context",,"Action plan, Alignment",,"Create alignment by identifying behaviours, activities or processes the team should start, stop or continue.",,Yes,Decide,,,
Fishbowl,,,The group has differing viewpoints or sensitive topics need discussion.,,60 mins,,"Ensure balanced participation.

Avoid allowing a small number of people to dominate.

Focus on listening and understanding rather than winning arguments.",,,,"Problem statement, Stakeholders",,"Alignment, Insights",,Enable structured discussion around difficult topics while ensuring all perspectives are heard.,,Hybrid,Discuss,,,
Stakeholder Map,,,"The team needs to understand who is involved, affected, or influential.",,60 mins,,"Encourage participants to consider both obvious and hidden stakeholders.

Look for conflicting incentives.

Use the exercise to identify engagement risks and opportunities.",,,,"Stakeholders, Team context",,"Alignment, Insights",,"Identify stakeholders, influence, needs, and relationships.",,Yes,Understand,,,
Democratic Discussion,,,The team needs broad participation and collective ownership of outcomes.,,60 mins,,"Protect equal participation.

Watch for dominant personalities.

Encourage quieter participants to contribute.

Focus on shared understanding.",,,,"Stakeholders, Team context",,"Alignment, Decision",,Create equal opportunity for participation and decision making.,,Yes,Discuss,,,
Blind Vote,,,The team needs to choose between options fairly and quickly.,,5 mins,,"Use when dominant personalities may influence decisions.

Avoid debating options during voting.

The objective is to reveal genuine preferences.",,,,"Ideas, Opportunities",,Decision,,Help the group make a quick decision without influence from louder voices.,,Yes,Decide,,,
Prototype Persona,,,Research is limited but the team needs a shared understanding of users.,,60 mins,,"Make it clear that the persona is a working hypothesis.

Avoid creating overly detailed fictional profiles.

Focus on creating shared understanding rather than perfection.",,,,"Existing research, User feedback",,Insights,,Create provisional user personas from existing knowledge.,,Yes,Understand,,,
SWOT Analysis,,,"The team needs structured evaluation of a challenge, opportunity or strategy.",,90 mins,,"Keep discussions balanced across all four areas.

Avoid spending too much time debating individual items.

Focus on identifying patterns and strategic implications.",,,,"Ideas, Problem statement, Stakeholders",,"Decision, Insights",,"Assess strengths, weaknesses, opportunities and threats.",,Yes,Evaluate,,,
Sticky Steps,,,The team knows the goal but needs a practical path forward.,,30 mins,,"Encourage participants to think in small achievable steps.

Challenge large vague actions.

Focus on creating momentum and clarity.",,,,Business goal,,Action plan,,Break a goal into small achievable steps.,,Yes,Goals,,,
Storyboard,,,The team wants to explore and communicate end-to-end solution ideas.,,90 mins,,"Keep participants focused on the experience rather than detailed UI solutions.

Encourage discussion around assumptions and risks.

Use the storyboard as a conversation tool rather than an artefact to perfect.",,,,"Ideas, Problem statement, User feedback",,Ideas,,"Visualise future experiences, concepts or service journeys.",,Yes,Ideas,,,
Crazy Eights,,,"The team needs options, concepts, or alternative approaches.",,30 mins,,"Emphasise speed over quality.

Encourage participants to avoid self-editing.

The goal is variety and exploration rather than polished ideas.",,,,"Opportunities, Problem statement",,Ideas,,Generate a range of solution ideas quickly.,,Yes,Ideas,,,
Five Whys,,,The team sees symptoms but does not yet understand the underlying cause.,,30 mins,,"Do not force exactly five iterations.

Stop when the conversation reaches a meaningful root cause.

Avoid blaming people.

Focus on systems, behaviours and contributing factors.",,,,Problem statement,,Insights,,Explore root causes by repeatedly asking why a problem is happening.,,Yes,Understand,,,
"Heart, Head, Hand",,,The team wants balanced decision making and needs to consider multiple viewpoints.,,30 mins,,"Encourage participants to contribute to all three areas.

Watch for teams focusing too heavily on logic and ignoring emotional or practical factors.

Use the discussion to reveal hidden trade-offs.",,,,"Ideas, Opportunities",,"Decision, Insights",,"Evaluate ideas from emotional, logical and practical perspectives.",,Yes,Evaluate,,,
"Rose, Thorn, Bud",,,"The team wants a balanced evaluation of a project, feature, process or experience.",,30 mins,,"Encourage balanced thinking.

Prevent the conversation from becoming overly negative.

Use the opportunity section to identify future actions.",,,,"Existing research, Ideas, User feedback",,"Ideas, Insights",,"Identify positives, challenges and opportunities within a situation.",,Yes,Evaluate,,,
Journey Map,,,"The team needs to understand user behaviour, friction, drop-off, or experience gaps.",,60 mins,,"Focus on the current experience before discussing solutions.

Use evidence wherever possible.

Encourage participants from different disciplines to contribute.

Pay particular attention to moments of confusion, frustration and drop-off.",,,,"Analytics, Existing research, User feedback",,"Insights, Journey map",,Map the user or customer experience from start to finish.,,Yes,Understand,,,
Mad Sad Glad,,,"The team needs reflection, retrospectives or emotional insight.",,60 mins,,"Create psychological safety.

Encourage honesty.

Focus on understanding experiences rather than defending decisions.

Look for recurring patterns.",,,,"Stakeholders, Team context",,"Alignment, Insights",,"Explore emotional responses to a project, initiative or experience.",,Yes,Discuss,,,
Empathy Map,,,The team needs deeper understanding of users.,,60 mins,,"Encourage participants to use evidence rather than assumptions.

Keep the discussion focused on the user rather than business needs.

Challenge unsupported statements.",,,,"Existing research, User feedback",,Insights,,"Explore what users think, feel, see and do.",,Yes,Understand,,,
